jrv,cod_departamento,departamento,cod_municipio,municipio,orden,id,agrupacion,comunidad,empadronados,cui_inicial,cui_final,sector,correlativo,nombre,ubicacion_direccion,zona,direccion_completa,LATITUD,LONGITUD,MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,TODOS,UNE,VALOR UNIONISTA,PR,CAMBIO,AZUL,MLP,VICTORIA,VAMOS,PHG,BIEN,UR,P A N,PIN,FCN-NACION,COMITE CIVICO LA GOTA DE AGUA,PPN,FOPPA X LA CIUDAD,MI FAMILIA,CABAL,VIVA,PODEMOS,PODER,CREO,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN,diferencia,comentario
145,1,GUATEMALA,1,GUATEMALA,1.0,8.0,"'008', '017', '065'",CABECERA MUNICIPAL,400,2610879670101,2645693180611,URBANO,10,INTECAP TICS PARQUEO,CALLE DEL ESTADIO DOROTEO GUAMUCH FLORES 8-79,5.0,"INTECAP TICS PARQUEO, CALLE DEL ESTADIO DOROTEO GUAMUCH FLORES 8-79, CABECERA MUNICIPAL, GUATEMALA, GUATEMALA",14.62472222222222,-90.51305555555555,145,Distrito Central,0,Guatemala,1,10,400,13,28,41,2,3.0,5,0,2,6,1,2,1,3,1,0,0,0,28,0,2,5,5,1,38,191,10,0,201,0,201,0,400,199,187,197.0,197.0,Sumas Asentadas sin cuadrar,1,616c79ecbdd21719346149c24cb2fbbb090717d8dfc1bf93aad694fedf72aa16,26/06/2023 00:24:44,ESCANER,4,Pendiente
147,1,GUATEMALA,1,GUATEMALA,1.0,8.0,"'008', '017', '065'",CABECERA MUNICIPAL,400,2688737550101,2774587810805,URBANO,10,INTECAP TICS PARQUEO,CALLE DEL ESTADIO DOROTEO GUAMUCH FLORES 8-79,5.0,"INTECAP TICS PARQUEO, CALLE DEL ESTADIO DOROTEO GUAMUCH FLORES 8-79, CABECERA MUNICIPAL, GUATEMALA, GUATEMALA",14.62472222222222,-90.51305555555555,147,Distrito Central,0,Guatemala,1,10,400,15,18,49,0,6.0,5,0,1,8,0,5,0,1,0,0,0,1,32,1,1,2,8,0,42,202,5,2,202,0,202,0,400,198,195,202.0,202.0,Sumas Asentadas sin cuadrar,1,5bac678442cdef4998f0e50ec9496b4b83b00c95ddc76f202c0e88fdedd815e0,26/06/2023 00:03:21,ESCANER,7,Pendiente
189,1,GUATEMALA,1,GUATEMALA,1.0,13.0,'013',CABECERA MUNICIPAL,400,1640319280114,1708523180501,URBANO,13,COLEGIO SAN LUCAS,13 CALLE 2-08,1.0,"COLEGIO SAN LUCAS, 13 CALLE 2-08, CABECERA MUNICIPAL, GUATEMALA, GUATEMALA",14.6375,-90.51888888888888,189,Distrito Central,0,Guatemala,1,14,400,9,18,74,0,2.0,4,3,7,8,0,4,2,1,0,1,1,0,36,1,3,3,11,0,59,237,16,2,265,1,266,0,398,132,247,265.0,266.0,Sumas Asentadas sin cuadrar,1,0acd7f58dc5a287bb221d57f9c11282b0a6cbc0c50def0efb55875b349a39c2e,25/06/2023 23:57:23,ESCANER,10,Pendiente
197,1,GUATEMALA,1,GUATEMALA,1.0,13.0,'013',CABECERA MUNICIPAL,400,2348345010101,2407084150101,URBANO,14,CENTRO DE ATENCION INTEGRAL,14 CALLE 0-28,3.0,"CENTRO DE ATENCION INTEGRAL, 14 CALLE 0-28, CABECERA MUNICIPAL, GUATEMALA, GUATEMALA",14.63622222222222,-90.52294444444445,197,Distrito Central,0,Guatemala,1,15,400,12,19,75,0,4.0,0,2,11,2,0,5,1,2,0,0,2,3,39,3,5,1,6,1,59,271,15,0,271,0,271,0,395,124,252,267.0,267.0,Sumas Asentadas sin cuadrar,1,3be5b003dd766312b171286a3f3209bc45d7eae9504d75a5e98f686a972e1c60,26/06/2023 00:23:13,ESCANER,19,Pendiente
205,1,GUATEMALA,1,GUATEMALA,1.0,13.0,'013',CABECERA MUNICIPAL,400,2989734210101,3007417230101,URBANO,116,ESCUELA OFICIAL DE NIÑAS NÚMERO  17 RAFAELA DEL ÁGUILA,8 AVENIDA 37-85,3.0,"ESCUELA OFICIAL DE NIÑAS NÚMERO  17 RAFAELA DEL ÁGUILA, 8 AVENIDA 37-85, CABECERA MUNICIPAL, GUATEMALA, GUATEMALA",14.61741666666667,-90.53244444444444,205,Distrito Central,0,Guatemala,1,17,400,9,9,46,1,9.0,4,1,7,4,1,1,0,3,0,2,0,0,73,0,2,3,10,1,54,239,7,1,247,0,247,0,400,153,240,248.0,248.0,Sumas Asentadas sin cuadrar,1,899071c5dc1a198bc83fd0464743b387cfe6e1f17ee73f0346af9b85dfe4462b,26/06/2023 00:52:53,ESCANER,1,Pendiente
222,1,GUATEMALA,1,GUATEMALA,1.0,14.0,'014',CABECERA MUNICIPAL,400,2177578201301,2210732720101,URBANO,16,ESCUELA DE  FORMACIÓN SECRETARIAL,12 AVENIDA 9-29,1.0,"ESCUELA DE  FORMACIÓN SECRETARIAL, 12 AVENIDA 9-29, CABECERA MUNICIPAL, GUATEMALA, GUATEMALA",14.63888888888889,-90.50722222222223,222,Distrito Central,0,Guatemala,1,18,400,6,15,43,3,6.0,0,2,9,8,0,2,2,1,0,0,0,0,40,1,5,6,11,1,67,234,16,0,250,0,250,0,400,147,228,244.0,244.0,Sumas Asentadas sin cuadrar,1,59439d24ef3c4e24f9557c6f52a871b557478adbf82645116e3d4773b12f85f4,25/06/2023 23:22:15,ESCANER,6,Pendiente
227,1,GUATEMALA,1,GUATEMALA,1.0,14.0,'014',CABECERA MUNICIPAL,400,2337660810101,2365506161014,URBANO,17,ESCUELA NACIONAL CENTRAL DE CIENCIAS COMERCIALES,10 AVENIDA 9-42,1.0,"ESCUELA NACIONAL CENTRAL DE CIENCIAS COMERCIALES, 10 AVENIDA 9-42, CABECERA MUNICIPAL, GUATEMALA, GUATEMALA",14.63916666666667,-90.50977777777777,227,Distrito Central,0,Guatemala,1,19,400,10,11,59,1,4.0,9,1,11,4,0,2,0,4,0,1,1,3,36,1,4,12,8,0,15,232,15,0,247,0,247,0,600,353,197,212.0,212.0,Sumas Asentadas sin cuadrar,1,4ccaec4fc26e28b80445697affa72252d79df881bf432cf8732cb8242f0f4e4f,26/06/2023 00:28:44,ESCANER,35,Datos no cuadran
236,1,GUATEMALA,1,GUATEMALA,1.0,14.0,'014',CABECERA MUNICIPAL,400,2549662410101,2573367880406,URBANO,17,ESCUELA NACIONAL CENTRAL DE CIENCIAS COMERCIALES,10 AVENIDA 9-42,1.0,"ESCUELA NACIONAL CENTRAL DE CIENCIAS COMERCIALES, 10 AVENIDA 9-42, CABECERA MUNICIPAL, GUATEMALA, GUATEMALA",14.63916666666667,-90.50977777777777,236,Distrito Central,0,Guatemala,1,19,400,11,16,65,1,6.0,9,1,10,9,0,1,2,3,0,0,0,0,38,1,3,1,11,0,55,246,13,3,262,0,262,0,397,135,243,259.0,259.0,Sumas Asentadas sin cuadrar,1,81ec5ec9e7b3cf3838b6bc5e719dddba631c2172a7d59c7dd16b888594763d72,26/06/2023 01:05:26,ESCANER,3,Pendiente
257,1,GUATEMALA,1,GUATEMALA,1.0,16.0,'016',CABECERA MUNICIPAL,400,1573319620101,1838072270207,URBANO,10,INTECAP TICS PARQUEO,CALLE DEL ESTADIO DOROTEO GUAMUCH FLORES 8-79,5.0,"INTECAP TICS PARQUEO, CALLE DEL ESTADIO DOROTEO GUAMUCH FLORES 8-79, CABECERA MUNICIPAL, GUATEMALA, GUATEMALA",14.62472222222222,-90.51305555555555,257,Distrito Central,0,Guatemala,1,22,400,8,21,64,1,2.0,9,0,4,4,0,5,0,2,1,1,0,1,0,0,2,2,8,2,45,207,18,0,225,0,225,0,400,175,182,200.0,200.0,Sumas Asentadas sin cuadrar,1,f727b491a956e0a0d16c734ab4c0ffe52394b0301413b341ac0b47dd1013f0ef,26/06/2023 00:12:08,ESCANER,25,"Datos no cuadran, foppa x la ciudad no tiene datos "
276,1,GUATEMALA,1,GUATEMALA,1.0,18.0,'018',CABECERA MUNICIPAL,400,2363657460101,2405628360101,URBANO,19,INSTITUTO EXPERIMENTAL DOCTOR JOSÉ MATOS PACHECO,42 AVENIDA 21-00,5.0,"INSTITUTO EXPERIMENTAL DOCTOR JOSÉ MATOS PACHECO, 42 AVENIDA 21-00, CABECERA MUNICIPAL, GUATEMALA, GUATEMALA",14.62666666666667,-90.49416666666667,276,Distrito Central,0,Guatemala,1,23,400,5,14,85,1,5.0,8,0,3,5,1,5,1,2,1,1,2,0,44,0,2,4,6,1,66,261,19,1,281,0,281,0,400,119,262,282.0,282.0,Sumas Asentadas sin cuadrar,1,8f5605081d7d7ffa11293edae643c9c5a8f8edee674314d72c80443dbda0381c,25/06/2023 23:08:31,ESCANER,1,Pendiente
277,1,GUATEMALA,1,GUATEMALA,1.0,18.0,'018',CABECERA MUNICIPAL,400,2405628600101,2438359810101,URBANO,19,INSTITUTO EXPERIMENTAL DOCTOR JOSÉ MATOS PACHECO,42 AVENIDA 21-00,5.0,"INSTITUTO EXPERIMENTAL DOCTOR JOSÉ MATOS PACHECO, 42 AVENIDA 21-00, CABECERA MUNICIPAL, GUATEMALA, GUATEMALA",14.62666666666667,-90.49416666666667,277,Distrito Central,0,Guatemala,1,23,400,10,12,72,1,5.0,5,0,2,6,0,3,0,4,1,0,0,3,38,1,2,6,12,1,69,271,17,1,253,0,271,0,400,128,253,271.0,271.0,Sumas Asentadas sin cuadrar,1,88536446db3adf118e32a5a7477d6e251cdeede2acade8ac495f24f0bdc11880,26/06/2023 01:10:03,ESCANER,18,Pendiente
291,1,GUATEMALA,1,GUATEMALA,1.0,18.0,'018',CABECERA MUNICIPAL,220,3676289450101,4092232980101,URBANO,19,INSTITUTO EXPERIMENTAL DOCTOR JOSÉ MATOS PACHECO,42 AVENIDA 21-00,5.0,"INSTITUTO EXPERIMENTAL DOCTOR JOSÉ MATOS PACHECO, 42 AVENIDA 21-00, CABECERA MUNICIPAL, GUATEMALA, GUATEMALA",14.62666666666667,-90.49416666666667,291,Distrito Central,0,Guatemala,1,23,220,1,6,25,6,2.0,1,0,2,2,0,1,0,1,0,0,0,0,14,1,0,1,6,1,23,87,6,0,93,0,93,0,220,127,93,99.0,99.0,Sumas Asentadas sin cuadrar,1,14c3f7751a1a1cbe7940df95baf1f56cca39bf91d2ef831a3b157872ecaa6f19,25/06/2023 23:04:29,ESCANER,6,Pendiente
305,1,GUATEMALA,1,GUATEMALA,1.0,19.0,'019',CABECERA MUNICIPAL,400,2560917572205,2608332310101,URBANO,20,"CENTRO DE USOS MÚLTIPLES, CARLOS ORELLANA",28 AVENIDA A 33-50,5.0,"CENTRO DE USOS MÚLTIPLES, CARLOS ORELLANA, 28 AVENIDA A 33-50, CABECERA MUNICIPAL, GUATEMALA, GUATEMALA",14.615,-90.50444444444445,305,Distrito Central,0,Guatemala,1,24,400,9,22,78,0,1.0,8,0,2,5,0,3,1,0,0,0,1,3,37,1,1,8,16,2,70,258,11,0,269,0,269,0,400,131,268,279.0,279.0,Sumas Asentadas sin cuadrar,1,6a3959a630282f0d6f615ce39dac8b6607e3544a0ec7ea325d27bf1fa40f202c,25/06/2023 22:26:54,ESCANER,10,Pendiente
311,1,GUATEMALA,1,GUATEMALA,1.0,19.0,'019',CABECERA MUNICIPAL,347,3485052640101,4084759431002,URBANO,20,"CENTRO DE USOS MÚLTIPLES, CARLOS ORELLANA",28 AVENIDA A 33-50,5.0,"CENTRO DE USOS MÚLTIPLES, CARLOS ORELLANA, 28 AVENIDA A 33-50, CABECERA MUNICIPAL, GUATEMALA, GUATEMALA",14.615,-90.50444444444445,311,Distrito Central,0,Guatemala,1,24,347,6,11,29,2,3.0,4,0,1,2,0,3,0,1,0,2,0,0,49,2,0,2,11,0,32,161,8,1,170,0,170,0,347,177,160,169.0,169.0,Sumas Asentadas sin cuadrar,1,b69fdc7409d0fdee42f1c7ac50dd574c18d90280e458e5cf74bb97608e1dbf1a,25/06/2023 23:07:02,ESCANER,1,Pendiente
312,1,GUATEMALA,1,GUATEMALA,1.0,20.0,'020',CABECERA MUNICIPAL,400,1572813290101,1623193120101,URBANO,21,ESCUELA OFICIAL PARA NIÑAS NÚMERO  49 JESÚS CASTRO GÓMEZ,27 AVENIDA A 24-27 COLONIA LA LABOR,5.0,"ESCUELA OFICIAL PARA NIÑAS NÚMERO  49 JESÚS CASTRO GÓMEZ, 27 AVENIDA A 24-27 COLONIA LA LABOR, CABECERA MUNICIPAL, GUATEMALA, GUATEMALA",14.62361111111111,-90.50194444444445,312,Distrito Central,0,Guatemala,1,25,400,15,20,72,1,6.0,6,0,5,8,0,4,3,2,1,1,2,4,0,0,0,4,4,0,76,267,15,1,283,0,283,0,400,117,234,250.0,250.0,Sumas Asentadas sin cuadrar,1,315d0fc512940f227edad79011bdd17806195731aa9f628e0e1d41a631d93055,25/06/2023 22:39:08,ESCANER,33,"Datos no cuadran, foppa x la ciudad no tiene datos "
324,1,GUATEMALA,1,GUATEMALA,1.0,20.0,'020',CABECERA MUNICIPAL,400,2420659960101,2457791910101,URBANO,22,ESCUELA OFICIAL URBANA DE NIÑAS NÚMERO 76 REPÚBLICA DE LIBANO,23 CALLE 32-40,5.0,"ESCUELA OFICIAL URBANA DE NIÑAS NÚMERO 76 REPÚBLICA DE LIBANO, 23 CALLE 32-40, CABECERA MUNICIPAL, GUATEMALA, GUATEMALA",14.62444444444444,-90.5,324,Distrito Central,0,Guatemala,1,26,400,17,17,85,0,0.0,14,0,6,4,3,3,0,4,0,0,0,3,41,1,6,5,11,0,66,284,17,1,302,0,302,0,399,98,286,304.0,304.0,Sumas Asentadas sin cuadrar,1,11c19b6b6be6b45f6326f4ce191ca80b994da0a5afb8f4139516800d5f9665be,26/06/2023 00:55:08,ESCANER,2,Pendiente
385,1,GUATEMALA,1,GUATEMALA,1.0,24.0,"'024', '025'",CABECERA MUNICIPAL,400,2542973230610,2618612632207,URBANO,27,ESCUELA OFICIAL URBANA DE NIÑAS NÚMERO 21 RAFAEL LANDIVAR,1 CALLE B 23 AVENIDA FINAL,6.0,"ESCUELA OFICIAL URBANA DE NIÑAS NÚMERO 21 RAFAEL LANDIVAR, 1 CALLE B 23 AVENIDA FINAL, CABECERA MUNICIPAL, GUATEMALA, GUATEMALA",14.645,-90.49194444444444,385,Distrito Central,0,Guatemala,1,31,400,6,24,51,2,3.0,6,1,7,6,0,2,0,1,1,2,3,5,22,1,1,6,10,2,59,218,25,2,248,0,248,0,400,152,221,248.0,248.0,Sumas Asentadas sin cuadrar,1,787b94bff364599426bc47a659f43a809b0e8d927fea586355d3eeca3fb4698d,26/06/2023 06:35:03,ESCANER,3,Pendiente
457,1,GUATEMALA,1,GUATEMALA,1.0,28.0,'028',CABECERA MUNICIPAL,400,2510570110101,2595388920101,URBANO,33,ESCUELA OFICIAL NÚMERO  3 ALEJANDRO MARURE,15 AVENIDA 3-28,6.0,"ESCUELA OFICIAL NÚMERO  3 ALEJANDRO MARURE, 15 AVENIDA 3-28, CABECERA MUNICIPAL, GUATEMALA, GUATEMALA",14.65,-90.49972222222222,457,Distrito Central,0,Guatemala,1,37,400,19,19,61,0,3.0,8,1,4,6,1,2,2,0,1,0,0,2,57,1,6,2,11,1,58,257,25,1,283,0,283,0,400,117,265,291.0,291.0,Sumas Asentadas sin cuadrar,1,a33b83b7bf33bc8198be55740d7c29c0a968fdb074b0b58071165f1d342cc20b,26/06/2023 00:16:43,ESCANER,8,Pendiente
463,1,GUATEMALA,1,GUATEMALA,1.0,29.0,'029',CABECERA MUNICIPAL,400,1619456430101,1664330470101,URBANO,34,INSTITUTO NACIONAL DE EDUCACIÓN BÁSICA EXPERIMENTAL ENRIQUE GÓMEZ CARRILLO,13 AVENIDA 15 CALLE FINAL,6.0,"INSTITUTO NACIONAL DE EDUCACIÓN BÁSICA EXPERIMENTAL ENRIQUE GÓMEZ CARRILLO, 13 AVENIDA 15 CALLE FINAL, CABECERA MUNICIPAL, GUATEMALA, GUATEMALA",14.66166666666667,-90.49722222222222,463,Distrito Central,0,Guatemala,1,38,400,6,23,69,0,3.0,6,0,4,5,3,2,1,1,2,2,3,5,27,0,4,3,6,0,58,235,20,0,255,0,255,0,400,145,233,253.0,253.0,Sumas Asentadas sin cuadrar,1,4e53ca4abb17b277bd77f74cc1e3eb15b1b239f256a77b75d2e542b617f8daaa,25/06/2023 22:54:05,ESCANER,2,Pendiente
471,1,GUATEMALA,1,GUATEMALA,1.0,29.0,'029',CABECERA MUNICIPAL,400,2107925580101,2195047251401,URBANO,34,INSTITUTO NACIONAL DE EDUCACIÓN BÁSICA EXPERIMENTAL ENRIQUE GÓMEZ CARRILLO,13 AVENIDA 15 CALLE FINAL,6.0,"INSTITUTO NACIONAL DE EDUCACIÓN BÁSICA EXPERIMENTAL ENRIQUE GÓMEZ CARRILLO, 13 AVENIDA 15 CALLE FINAL, CABECERA MUNICIPAL, GUATEMALA, GUATEMALA",14.66166666666667,-90.49722222222222,471,Distrito Central,0,Guatemala,1,38,400,8,15,26,0,5.0,2,2,5,1,0,8,2,2,1,1,0,2,41,2,2,2,8,2,64,198,19,1,218,0,18,0,400,182,201,221.0,221.0,Sumas Asentadas sin cuadrar,1,88aa1155298945d81132168e85103eca0115b36d6e8240a030c298723e6ba005,26/06/2023 06:44:16,ESCANER,3,Pendiente
